,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
54,26049364,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2017,RESIDENCEAREATYPE,URB,,,,,,,87,86.96201,,,,2021-06-23T13:15:40.413+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
55,26049365,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2018,RESIDENCEAREATYPE,RUR,,,,,,,50,50.38334,,,,2021-06-23T13:15:40.43+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
56,26049366,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2018,RESIDENCEAREATYPE,TOTL,,,,,,,60,60.27175,,,,2021-06-23T13:15:40.46+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
57,26049367,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2018,RESIDENCEAREATYPE,URB,,,,,,,87,86.96643,,,,2021-06-23T13:15:40.477+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
58,26049368,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2019,RESIDENCEAREATYPE,RUR,,,,,,,51,51.08274,,,,2021-06-23T13:15:40.49+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
59,26049369,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2019,RESIDENCEAREATYPE,TOTL,,,,,,,61,60.95448,,,,2021-06-23T13:15:40.507+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
60,26049370,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2019,RESIDENCEAREATYPE,URB,,,,,,,87,86.97083,,,,2021-06-23T13:15:40.523+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
61,26049371,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2020,RESIDENCEAREATYPE,RUR,,,,,,,52,51.77998,,,,2021-06-23T13:15:40.54+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
62,26049372,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2020,RESIDENCEAREATYPE,TOTL,,,,,,,62,61.63289,,,,2021-06-23T13:15:40.57+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
63,26049373,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2020,RESIDENCEAREATYPE,URB,,,,,,,87,86.97523,,,,2021-06-23T13:15:40.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
