,Unnamed: 0,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
51,52,26061710,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2017,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.523+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
52,53,26061711,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2017,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
53,54,26061712,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2017,RESIDENCEAREATYPE,URB,,,,,,,58.0,57.87737,,,,2021-06-23T13:20:38.57+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
54,55,26061713,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2018,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.603+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
55,56,26061714,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2018,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.633+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
56,57,26061715,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2018,RESIDENCEAREATYPE,URB,,,,,,,58.0,57.67426,,,,2021-06-23T13:20:38.65+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
57,58,26061716,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2019,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.663+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
58,59,26061717,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2019,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.68+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
59,60,26061718,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2019,RESIDENCEAREATYPE,URB,,,,,,,58.0,57.68951,,,,2021-06-23T13:20:38.697+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
60,61,26061719,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2020,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.73+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
61,62,26061720,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2020,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.743+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
62,63,26061721,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2020,RESIDENCEAREATYPE,URB,,,,,,,58.0,57.70477,,,,2021-06-23T13:20:38.76+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
